order_item_id,order_id,product_id,quantity,item_price
1,2627,910,4,346.95
2,7180,871,3,438.67
3,1511,146,3,242.42
4,2797,166,1,390.37
5,6908,598,1,280.64
6,4513,166,8,425.31
7,4303,567,8,122.38
8,1644,395,1,16.58
9,4407,835,4,336.76
10,3365,253,2,389.66
11,6769,565,1,43.88
12,9592,974,2,331.03
13,9743,940,1,109.15
14,3412,409,5,494.95
15,83,446,6,392.51
16,5697,654,8,81.53
17,9672,47,8,240.13
18,2441,95,4,394.89
19,5761,857,3,263.27
20,1783,951,5,489.45
21,8797,489,8,219.15
22,6427,723,5,444.01
23,7907,652,7,50.71
24,8923,263,4,276.76
25,1361,433,2,497.66
26,2079,654,9,340.9
27,978,925,2,81.14
28,7794,943,2,332.01
29,1638,654,8,215.55
30,3301,983,6,353.56
31,4005,691,5,178.96
32,583,243,3,249.72
33,8652,654,7,112.5
34,8328,855,8,84.68
35,9170,904,9,152.79
36,8476,333,2,389.03
37,2399,612,8,397.73
38,4113,108,5,274.05
39,1239,321,1,97.46
40,3467,805,7,405.52
41,5519,474,7,434.14
42,5364,708,3,55.66
43,3167,272,3,210.06
44,780,473,4,277.73
45,2135,467,5,403.93
46,2237,404,5,317.91
47,1640,986,5,208.97
48,8612,755,6,234.49
49,3690,224,1,217.37
50,4956,963,7,67.8
51,8399,112,4,394.1
52,7373,455,5,36.75
53,3391,288,8,344.6
54,7251,453,8,80.78
55,7250,341,5,212.52
56,3797,158,3,64.96
57,2535,660,8,297.69
58,2181,186,2,451.15
59,4307,29,9,306.36
60,4228,408,6,199.57
61,9590,897,4,469.27
62,1447,747,4,151.77
63,952,985,3,131.71
64,4022,27,5,359.07
65,5486,985,6,478.65
66,1718,763,3,390.31
67,4243,533,9,196.02
68,3806,913,8,141.26
69,5914,92,6,234.44
70,7476,928,5,371.67
71,4811,172,3,143.84
72,1597,114,3,420.45
73,6595,98,8,320.02
74,3217,255,6,244.12
75,9099,22,6,49.72
76,5756,554,4,213.13
77,6284,121,3,123.6
78,1338,211,6,257.0
79,2975,702,1,328.69
80,4474,816,5,162.46
81,8553,648,7,407.38
82,6827,386,1,434.29
83,5668,901,4,121.8
84,8765,284,2,18.78
85,8014,900,1,89.89
86,3045,53,1,229.52
87,9777,868,7,337.94
88,5019,641,6,300.34
89,2234,591,7,293.46
90,5638,461,1,119.44
91,7468,735,3,84.42
92,3247,721,7,22.65
93,4042,902,9,218.31
94,1890,856,6,154.14
95,7677,951,8,276.4
96,2656,308,9,303.13
97,3719,333,7,147.56
98,5536,213,9,278.82
99,9249,536,4,306.27
100,2130,190,9,440.6
101,9699,184,9,77.47
102,1631,214,2,195.08
103,5061,93,9,162.32
104,992,408,3,131.14
105,4591,620,7,215.56
106,9386,716,3,471.54
107,6867,276,5,422.36
108,8895,34,2,263.57
109,9223,783,3,202.63
110,4922,819,4,218.78
111,8022,245,6,130.05
112,2482,639,6,330.57
113,8755,772,3,135.76
114,6282,309,3,60.07
115,8559,654,9,163.87
116,6250,705,2,246.11
117,794,417,4,365.54
118,4732,380,5,246.22
119,987,50,8,22.22
120,9150,239,8,353.67
121,3596,235,6,388.17
122,855,319,2,56.04
123,1570,562,1,361.99
124,2257,93,7,330.11
125,4104,760,1,198.17
126,4177,330,3,399.19
127,7962,420,9,356.73
128,5255,462,6,286.76
129,8430,342,8,382.5
130,7907,242,9,220.81
131,6002,609,7,306.37
132,1733,476,8,25.23
133,815,967,4,228.32
134,7036,612,5,304.51
135,1187,484,7,6.92
136,7582,946,9,201.48
137,2226,425,8,269.42
138,9177,866,7,188.39
139,6424,997,4,184.37
140,8990,966,1,429.93
141,5174,227,1,482.4
142,8736,155,5,52.81
143,5883,542,7,455.8
144,520,160,8,192.46
145,5042,211,7,122.73
146,1455,790,4,79.08
147,6871,725,7,375.02
148,7214,581,6,363.14
149,7760,661,8,51.89
150,9251,489,9,479.94
151,9305,256,1,40.88
152,3407,56,2,250.98
153,947,852,8,324.43
154,4031,742,7,444.66
155,8328,159,7,138.45
156,793,869,3,137.44
157,1137,955,7,391.73
158,9555,966,4,208.44
159,555,95,2,106.83
160,7038,239,1,15.56
161,3404,683,8,374.18
162,2255,216,5,12.44
163,1367,438,4,320.6
164,949,758,9,217.29
165,8296,146,5,319.06
166,7810,951,2,381.24
167,7208,508,9,325.58
168,9239,797,7,235.53
169,7420,124,9,454.21
170,4027,701,5,6.78
171,5957,819,7,28.62
172,7370,332,8,245.82
173,7323,268,4,127.39
174,2615,605,8,218.05
175,9156,189,7,147.15
176,3272,583,3,119.47
177,9030,144,8,461.9
178,7385,128,4,112.24
179,5679,524,2,50.28
180,882,830,9,116.73
181,3189,725,8,216.47
182,3335,964,4,115.54
183,2199,362,3,53.37
184,8404,572,3,137.99
185,9408,849,6,453.7
186,9073,796,2,377.59
187,755,832,3,120.48
188,5218,607,1,305.54
189,8893,72,5,428.77
190,371,622,3,485.63
191,1733,946,7,41.77
192,5260,282,9,105.88
193,802,424,5,472.01
194,6400,878,2,442.98
195,9182,439,2,153.04
196,4772,624,4,102.86
197,7008,159,9,408.62
198,416,723,2,57.08
199,3338,894,5,311.82
200,5259,251,7,454.27
201,8028,327,4,94.13
202,5058,625,7,66.96
203,6968,517,7,323.43
204,1621,653,2,309.03
205,9728,914,2,38.3
206,5983,338,2,183.81
207,7994,755,9,463.82
208,2793,631,1,118.75
209,8765,818,6,266.73
210,7387,640,7,179.5
211,4894,84,9,452.72
212,5097,756,3,262.73
213,4857,113,9,227.96
214,3656,983,7,446.32
215,8485,676,5,323.88
216,4294,369,5,181.79
217,80,627,7,496.6
218,4309,104,6,458.33
219,1863,180,8,135.97
220,619,289,9,21.77
221,960,448,6,64.81
222,3736,967,3,81.55
223,8115,232,9,368.78
224,2169,325,2,191.16
225,3246,352,5,172.91
226,7236,969,4,281.6
227,9915,670,2,72.09
228,1162,608,6,141.55
229,2041,231,7,245.05
230,8161,324,2,236.91
231,5650,985,3,307.76
232,9292,790,5,158.4
233,7319,827,9,194.24
234,9881,264,7,36.37
235,7484,450,3,326.27
236,4133,549,4,252.16
237,845,611,7,25.69
238,5778,741,1,254.85
239,1644,312,4,134.3
240,1264,189,1,77.62
241,2935,598,5,7.53
242,6140,65,2,490.85
243,7175,615,9,474.23
244,216,426,3,413.32
245,4777,624,5,111.98
246,2341,353,8,435.07
247,7707,945,8,449.11
248,9700,580,9,45.4
249,2091,137,3,263.14
250,1117,136,3,57.91
251,7751,314,4,268.89
252,5335,726,6,422.94
253,2162,497,7,315.19
254,3257,874,1,36.16
255,9341,753,2,9.87
256,3177,310,3,51.67
257,6381,597,1,454.82
258,3346,560,3,492.7
259,6997,438,4,244.29
260,9333,361,6,181.76
261,2934,156,5,175.44
262,7742,613,6,215.36
263,5656,962,9,200.66
264,2449,366,1,384.78
265,828,81,3,266.48
266,5897,640,8,47.77
267,1204,671,9,48.5
268,6620,237,2,60.0
269,6799,397,5,197.64
270,845,59,3,138.25
271,2972,237,2,188.25
272,1269,510,9,51.37
273,4745,338,5,453.87
