order_id,customer_id,order_date,status
1,3610,2023-05-15,Processing
2,3936,2023-09-12,Cancelled
3,4620,2023-10-05,Processing
4,2154,2023-05-13,Returned
5,1909,2023-08-26,Returned
6,3013,2023-01-15,Cancelled
7,4229,2023-10-04,Returned
8,3023,2023-05-06,Completed
9,3484,2023-12-11,Returned
10,2721,2023-01-17,Cancelled
11,1771,2023-11-08,Returned
12,4114,2023-02-19,Cancelled
13,1778,2023-05-15,Returned
14,4213,2023-04-28,Processing
15,798,2023-11-02,Cancelled
16,3216,2023-03-01,Returned
17,3789,2023-05-05,Completed
18,2977,2023-04-26,Cancelled
19,3738,2023-06-22,Cancelled
20,1712,2023-07-06,Returned
21,753,2023-03-29,Processing
22,2470,2023-07-22,Processing
23,3970,2023-12-27,Returned
24,1393,2023-11-07,Returned
25,2606,2023-11-16,Completed
26,678,2023-07-01,Returned
27,106,2023-12-18,Cancelled
28,3288,2023-06-17,Returned
29,4754,2023-06-30,Completed
30,1947,2023-10-27,Returned
31,1096,2023-05-10,Returned
32,1783,2023-05-29,Cancelled
33,4542,2023-11-02,Processing
34,3258,2023-07-28,Returned
35,1998,2023-04-21,Completed
36,4870,2023-05-17,Returned
37,1562,2023-12-21,Returned
38,4007,2023-07-30,Cancelled
39,1676,2023-05-26,Processing
40,1123,2023-03-25,Processing
41,3982,2023-01-30,Processing
42,1302,2023-03-06,Returned
43,944,2023-01-24,Cancelled
44,4551,2023-07-30,Cancelled
45,946,2023-08-10,Returned
46,601,2023-03-31,Cancelled
47,2701,2023-04-16,Processing
48,4821,2023-06-21,Cancelled
49,1418,2023-08-18,Returned
50,1525,2023-03-18,Returned
51,3767,2023-03-09,Completed
52,251,2023-12-31,Completed
53,1545,2023-12-19,Cancelled
54,79,2023-04-02,Cancelled
55,3124,2023-03-29,Returned
56,898,2023-02-19,Completed
57,4877,2023-04-13,Completed
58,226,2023-02-15,Processing
59,1210,2023-06-28,Processing
60,4899,2023-09-24,Returned
61,4838,2023-09-25,Returned
62,2179,2023-11-16,Returned
63,2680,2023-01-08,Returned
64,2886,2023-09-22,Completed
65,2807,2023-03-19,Returned
66,704,2023-08-28,Returned
67,2545,2023-09-15,Completed
68,2371,2023-07-15,Processing
69,3282,2023-11-26,Returned
70,4711,2023-05-11,Processing
71,329,2023-12-09,Completed
72,4229,2023-09-18,Processing
73,4931,2023-08-30,Completed
74,121,2023-06-20,Returned
75,965,2023-05-27,Processing
76,4225,2023-09-27,Returned
77,3676,2023-05-29,Cancelled
78,2077,2023-10-26,Cancelled
79,333,2023-01-28,Processing
80,3369,2023-05-29,Completed
81,1317,2023-10-07,Processing
82,1197,2023-07-01,Completed
83,3171,2023-06-15,Cancelled
84,1430,2023-01-17,Completed
85,356,2023-05-30,Cancelled
86,4235,2023-12-05,Processing
87,1527,2023-02-14,Returned
88,3898,2023-11-26,Returned
89,29,2023-07-08,Returned
90,1014,2023-05-19,Completed
91,2703,2023-03-02,Returned
92,828,2023-10-21,Completed
93,4447,2023-11-18,Returned
94,2025,2023-02-02,Completed
95,299,2023-10-26,Completed
96,1866,2023-04-22,Cancelled
97,4017,2023-10-18,Cancelled
98,2112,2023-02-06,Processing
99,755,2023-04-10,Cancelled
100,770,2023-01-23,Completed
101,3736,2023-08-06,Cancelled
102,1239,2023-03-30,Cancelled
103,4930,2023-07-28,Cancelled
104,2214,2023-09-28,Completed
105,1907,2023-08-25,Completed
106,1565,2023-07-28,Processing
107,1219,2023-10-05,Cancelled
108,4602,2023-07-25,Cancelled
109,1358,2023-03-19,Completed
110,3840,2023-11-24,Processing
111,1461,2023-04-08,Processing
112,3986,2023-12-12,Completed
113,1417,2023-12-31,Cancelled
114,2854,2023-12-16,Processing
115,4857,2023-12-02,Processing
116,4929,2023-04-04,Cancelled
117,1429,2023-03-21,Processing
118,4379,2023-02-07,Cancelled
119,4475,2023-08-16,Processing
120,4294,2023-05-14,Processing
121,3063,2023-07-15,Completed
122,3072,2023-10-09,Processing
123,556,2023-04-11,Cancelled
124,356,2023-03-16,Processing
125,1564,2023-10-21,Completed
126,3501,2023-07-27,Processing
127,1041,2023-03-24,Returned
128,2687,2023-05-23,Cancelled
129,4475,2023-02-25,Returned
130,4776,2023-12-27,Completed
131,2554,2023-10-14,Returned
132,1780,2023-07-30,Processing
133,4995,2023-06-28,Cancelled
134,76,2023-02-27,Returned
135,4327,2023-03-14,Processing
136,3320,2023-08-03,Returned
137,2350,2023-09-23,Processing
138,2774,2023-03-14,Processing
139,2263,2023-09-28,Returned
140,3230,2023-12-20,Completed
141,2117,2023-08-22,Cancelled
142,393,2023-11-15,Completed
143,1109,2023-01-19,Returned
144,4363,2023-04-23,Processing
145,611,2023-03-04,Returned
146,2776,2023-07-03,Processing
147,3999,2023-10-04,Processing
148,673,2023-06-11,Completed
149,3678,2023-08-31,Completed
150,31,2023-05-25,Returned
151,1401,2023-05-26,Cancelled
152,4072,2023-03-22,Completed
153,617,2023-11-18,Processing
154,4635,2023-11-17,Returned
155,2787,2023-02-12,Returned
156,871,2023-11-09,Cancelled
157,4197,2023-10-20,Returned
158,3605,2023-06-25,Completed
159,1413,2023-03-10,Processing
160,2740,2023-02-25,Returned
161,941,2023-04-29,Returned
162,341,2023-07-23,Processing
163,2909,2023-02-24,Returned
164,4134,2023-02-07,Returned
165,660,2023-08-31,Cancelled
166,2034,2023-07-20,Completed
167,1561,2023-08-24,Returned
168,3458,2023-01-15,Completed
169,1657,2023-05-24,Cancelled
170,2976,2023-03-18,Completed
171,1050,2023-11-05,Cancelled
172,454,2023-09-20,Completed
173,1705,2023-07-04,Completed
174,2785,2023-02-24,Returned
175,819,2023-11-04,Completed
176,4869,2023-01-04,Returned
177,13,2023-10-26,Returned
178,3980,2023-02-09,Completed
179,921,2023-08-18,Returned
180,4921,2023-10-13,Completed
181,2419,2023-05-18,Processing
182,1315,2023-04-13,Returned
183,3678,2023-01-07,Processing
184,2018,2023-06-13,Processing
185,1229,2023-12-31,Returned
186,4793,2023-10-03,Cancelled
187,2435,2023-02-18,Cancelled
188,2869,2023-04-06,Processing
189,2516,2023-02-28,Processing
190,1439,2023-08-19,Completed
191,4165,2023-06-26,Processing
192,3544,2023-03-31,Returned
193,3176,2023-10-09,Cancelled
194,1782,2023-02-05,Cancelled
195,2264,2023-06-20,Cancelled
196,1970,2023-05-06,Returned
197,212,2023-10-26,Completed
198,508,2023-12-21,Returned
199,332,2023-07-23,Returned
200,551,2023-10-16,Cancelled
201,942,2023-12-22,Returned
202,728,2023-04-07,Processing
203,4976,2023-08-26,Returned
204,2863,2023-06-22,Cancelled
205,3244,2023-10-28,Cancelled
206,649,2023-03-29,Returned
207,2738,2023-12-17,Processing
208,2748,2023-01-17,Processing
209,1010,2023-05-20,Cancelled
210,1551,2023-09-11,Processing
211,804,2023-10-05,Processing
212,4081,2023-05-31,Completed
213,4310,2023-12-12,Completed
214,4265,2023-11-30,Processing
215,3402,2023-05-20,Processing
216,4242,2023-04-24,Completed
217,4612,2023-03-09,Completed
218,3162,2023-06-28,Completed
219,4549,2023-05-05,Cancelled
220,4156,2023-11-09,Cancelled
221,528,2023-11-07,Completed
222,3299,2023-12-04,Completed
223,1024,2023-12-29,Completed
224,3735,2023-12-24,Cancelled
225,433,2023-08-21,Cancelled
226,1177,2023-05-27,Processing
227,401,2023-04-21,Returned
228,2105,2023-12-29,Processing
229,3051,2023-12-24,Returned
230,2234,2023-08-26,Returned
231,2446,2023-01-03,Returned
232,4701,2023-07-30,Processing
233,2836,2023-01-25,Cancelled
234,2514,2023-11-27,Cancelled
235,1774,2023-07-03,Cancelled
236,1097,2023-03-02,Cancelled
237,929,2023-05-03,Processing
238,1952,2023-02-24,Completed
239,1974,2023-06-12,Returned
240,1555,2023-07-06,Cancelled
241,2779,2023-02-08,Cancelled
242,4422,2023-07-04,Processing
243,995,2023-03-24,Returned
244,613,2023-07-14,Cancelled
245,2594,2023-02-03,Completed
246,596,2023-04-23,Cancelled
247,842,2023-08-18,Returned
248,4440,2023-10-10,Completed
249,859,2023-10-14,Processing
250,445,2023-06-04,Completed
251,1789,2023-06-14,Returned
252,4318,2023-07-01,Returned
253,3455,2023-08-27,Completed
254,3953,2023-05-17,Cancelled
255,4688,2023-12-05,Returned
256,1031,2023-09-23,Completed
257,1296,2023-07-06,Returned
258,2064,2023-02-09,Cancelled
259,1448,2023-11-06,Cancelled
260,2046,2023-06-16,Completed
261,4620,2023-09-17,Processing
262,2851,2023-05-23,Processing
263,3825,2023-07-23,Cancelled
264,2069,2023-06-25,Processing
265,3762,2023-09-19,Cancelled
266,2276,2023-09-09,Processing
267,1809,2023-11-25,Cancelled
268,1312,2023-07-19,Returned
269,4056,2023-07-18,Completed
270,2452,2023-07-15,Completed
271,1090,2023-11-10,Processing
272,1673,2023-03-18,Completed
273,3676,2023-01-19,Processing
274,4533,2023-03-03,Cancelled
275,4925,2023-11-23,Returned
276,4355,2023-10-08,Completed
277,2004,2023-09-07,Returned
278,4199,2023-08-15,Completed
279,4865,2023-05-07,Cancelled
280,1125,2023-02-27,Completed
281,1222,2023-07-23,Completed
282,2861,2023-08-31,Cancelled
283,2274,2023-11-28,Processing
284,2991,2023-11-22,Processing
285,2511,2023-09-09,Cancelled
286,237,2023-11-18,Processing
287,1145,2023-07-18,Completed
288,3254,2023-12-09,Returned
289,3783,2023-08-28,Cancelled
290,767,2023-05-19,Completed
291,2682,2023-05-02,Cancelled
292,2666,2023-02-18,Returned
293,1760,2023-10-31,Completed
294,3492,2023-04-25,Completed
295,2816,2023-12-09,Returned
296,3514,2023-09-08,Returned
297,496,2023-01-07,Processing
298,3181,2023-08-07,Completed
299,3931,2023-03-18,Returned
300,2073,2023-06-28,Returned
301,338,2023-05-25,Completed
302,3950,2023-06-03,Processing
303,3109,2023-05-01,Cancelled
304,1818,2023-05-04,Processing
305,137,2023-05-30,Returned
306,2556,2023-09-25,Cancelled
307,4416,2023-11-23,Cancelled
308,916,2023-01-01,Processing
309,3539,2023-06-10,Cancelled
310,2101,2023-09-01,Returned
311,2908,2023-09-08,Completed
312,2915,2023-03-05,Completed
313,1983,2023-10-26,Completed
314,3871,2023-09-05,Processing
315,4529,2023-10-24,Completed
316,3568,2023-04-25,Completed
317,999,2023-10-22,Completed
318,2148,2023-01-01,Cancelled
319,4695,2023-02-10,Cancelled
320,396,2023-06-22,Cancelled
321,3599,2023-03-29,Returned
322,4511,2023-04-08,Returned
323,939,2023-03-29,Returned
324,1637,2023-09-08,Completed
325,2725,2023-12-01,Cancelled
326,2511,2023-05-21,Returned
327,4637,2023-03-12,Processing
328,1650,2023-05-17,Cancelled
329,3691,2023-04-09,Completed
330,3436,2023-05-31,Cancelled
331,3202,2023-06-24,Completed
332,4180,2023-06-16,Returned
333,4367,2023-12-09,Completed
334,2292,2023-09-14,Completed
335,4484,2023-08-12,Processing
336,214,2023-11-26,Cancelled
337,3238,2023-03-06,Completed
338,3863,2023-03-10,Processing
339,59,2023-03-08,Processing
340,2931,2023-02-19,Processing
341,4939,2023-11-10,Returned
342,2972,2023-11-05,Returned
343,1528,2023-04-01,Completed
344,123,2023-04-25,Cancelled
345,3720,2023-02-26,Returned
346,1437,2023-12-08,Returned
347,1163,2023-01-18,Completed
348,3301,2023-09-29,Completed
349,3346,2023-05-10,Returned
350,2487,2023-09-26,Completed
351,562,2023-03-21,Processing
352,3982,2023-10-26,Completed
353,1738,2023-11-06,Processing
354,905,2023-07-21,Returned
355,3555,2023-08-13,Cancelled
356,4491,2023-06-08,Processing
357,1727,2023-07-23,Cancelled
358,2924,2023-05-17,Returned
359,3532,2023-03-14,Completed
360,3907,2023-02-17,Processing
361,935,2023-01-18,Processing
362,75,2023-09-24,Returned
363,295,2023-12-06,Returned
364,21,2023-01-19,Completed
365,3243,2023-04-10,Cancelled
366,1039,2023-04-26,Processing
367,4656,2023-12-12,Cancelled
368,1110,2023-03-15,Processing
369,3772,2023-10-07,Processing
370,372,2023-09-26,Completed
371,4914,2023-05-05,Processing
372,1175,2023-04-26,Processing
373,1165,2023-06-23,Returned
374,1093,2023-06-30,Completed
375,1284,2023-08-14,Returned
376,2012,2023-06-06,Processing
377,846,2023-06-13,Completed
378,1992,2023-03-12,Processing
379,521,2023-08-10,Completed
380,4467,2023-05-06,Cancelled
381,4197,2023-05-25,Cancelled
382,4757,2023-06-25,Completed
383,243,2023-06-01,Processing
384,2801,2023-07-01,Completed
385,4608,2023-12-13,Processing
386,2897,2023-03-26,Cancelled
387,2603,2023-12-30,Processing
388,2274,2023-05-01,Returned
389,1542,2023-05-09,Cancelled
390,2766,2023-01-06,Returned
391,2115,2023-11-30,Cancelled
392,4492,2023-07-02,Cancelled
393,4708,2023-02-07,Returned
394,3084,2023-04-26,Completed
395,1858,2023-04-12,Processing
396,770,2023-01-08,Cancelled
397,1423,2023-08-06,Processing
398,407,2023-07-26,Cancelled
399,2973,2023-03-19,Processing
400,1873,2023-02-24,Cancelled
401,2695,2023-10-31,Completed
402,2270,2023-08-16,Cancelled
403,4750,2023-03-29,Completed
404,1182,2023-01-10,Cancelled
405,1440,2023-11-04,Processing
406,3054,2023-10-17,Returned
407,3334,2023-06-13,Cancelled
408,2898,2023-08-27,Cancelled
409,2904,2023-11-13,Completed
410,229,2023-05-24,Processing
411,3960,2023-12-01,Completed
412,1894,2023-01-18,Processing
413,1314,2023-03-12,Processing
414,1071,2023-06-24,Completed
415,975,2023-12-08,Returned
416,1739,2023-10-15,Processing
417,3286,2023-10-26,Returned
418,758,2023-12-05,Completed
419,3096,2023-09-05,Returned
420,321,2023-07-12,Processing
421,2322,2023-11-21,Completed
422,556,2023-11-02,Returned
423,4940,2023-09-25,Completed
424,1387,2023-07-23,Completed
425,4764,2023-12-07,Returned
426,3048,2023-05-03,Processing
427,2428,2023-02-27,Processing
428,2005,2023-12-05,Processing
429,1931,2023-07-20,Processing
